dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,10.229553,18.197758,0.000199,0.019900,0.995025,49.751244,0.047149
0.020000,10.229420,18.197751,0.000332,0.006640,-0.663002,-82.901331,0.047251
0.020000,10.229122,18.197737,0.000631,0.014937,0.414832,53.891664,0.047483
0.020000,10.230996,18.197827,0.002507,0.093824,3.944360,176.476445,0.047894
0.020000,10.235138,18.198027,0.006653,0.207315,5.674525,86.508231,0.048536
0.020000,10.241102,18.198319,0.012625,0.298601,4.564321,-55.510185,0.049459
0.020000,10.249058,18.198718,0.020591,0.398258,4.982851,20.926462,0.050688
0.020000,10.259005,18.199230,0.030551,0.498020,4.988085,0.261726,0.052221
0.020000,10.270946,18.199865,0.042509,0.597917,4.994858,0.338653,0.054056
0.020000,10.284885,18.200634,0.056469,0.697976,5.002954,0.404811,0.056190
0.020000,10.300823,18.201550,0.072433,0.798227,5.012561,0.480314,0.058621
0.020000,10.318765,18.202628,0.090407,0.898701,5.023674,0.555662,0.061346
0.020000,10.338714,18.203883,0.110396,0.999428,5.036335,0.633059,0.064359
0.020000,10.360675,18.205335,0.132405,1.100444,5.050829,0.724694,0.067658
0.020000,10.384652,18.207003,0.156440,1.201779,5.066752,0.796157,0.071236
0.020000,10.410652,18.208909,0.182510,1.303472,5.084627,0.893734,0.075088
0.020000,10.438679,18.211075,0.210621,1.405560,5.104398,0.988578,0.079209
0.020000,10.468741,18.213528,0.240783,1.508079,5.125969,1.078544,0.083591
0.020000,10.500844,18.216293,0.273004,1.611072,5.149655,1.184292,0.088227
0.020000,10.534994,18.219398,0.307296,1.714578,5.175305,1.282486,0.093109
0.020000,10.571201,18.222872,0.343668,1.818644,5.203282,1.398857,0.098229
0.020000,10.609472,18.226747,0.382135,1.923310,5.233280,1.499922,0.103577
0.020000,10.649815,18.231055,0.422707,2.028624,5.265701,1.621026,0.109143
0.020000,10.692240,18.235828,0.465400,2.134630,5.300305,1.730213,0.114916
0.020000,10.736756,18.241101,0.510227,2.241378,5.337409,1.855204,0.120886
0.020000,10.783374,18.246910,0.557206,2.348915,5.376852,1.972125,0.127039
0.020000,10.832103,18.253291,0.606351,2.457291,5.418824,2.098595,0.133363
0.020000,10.882956,18.260282,0.657682,2.566554,5.463137,2.215653,0.139844
0.020000,10.935944,18.267921,0.711218,2.676754,5.509974,2.341853,0.146468
0.020000,10.991078,18.276245,0.766976,2.787939,5.559289,2.465759,0.153219
0.020000,11.048370,18.285295,0.824980,2.900159,5.610963,2.583706,0.160081
0.020000,11.107835,18.295110,0.885249,3.013460,5.665071,2.705376,0.167038
0.020000,11.169485,18.305728,0.947807,3.127891,5.721539,2.823426,0.174071
0.020000,11.233334,18.317191,1.012676,3.243496,5.780252,2.935622,0.181163
0.020000,11.299397,18.329537,1.079883,3.360320,5.841198,3.047317,0.188296
0.020000,11.367688,18.342804,1.149451,3.478406,5.904288,3.154494,0.195448
0.020000,11.438223,18.357033,1.221407,3.597793,5.969382,3.254711,0.202601
0.020000,11.511018,18.372259,1.295777,3.718522,6.036434,3.352625,0.209734
0.020000,11.586090,18.388519,1.372590,3.840628,6.105313,3.443923,0.216824
0.020000,11.663456,18.405849,1.451873,3.964146,6.175916,3.530138,0.223851
0.020000,11.743134,18.424282,1.533655,4.089109,6.248128,3.610601,0.230792
0.020000,11.825142,18.443851,1.617966,4.215546,6.321858,3.686507,0.237624
0.020000,11.909501,18.464584,1.704836,4.343486,6.396993,3.756750,0.244323
0.020000,11.996232,18.486511,1.794295,4.472955,6.473448,3.822738,0.250867
0.020000,12.085355,18.509655,1.886374,4.603978,6.551135,3.884379,0.257231
0.020000,12.176894,18.534040,1.981106,4.736578,6.629992,3.942849,0.263390
0.020000,12.270874,18.559685,2.078521,4.870777,6.709954,3.998106,0.269320
0.020000,12.367319,18.586605,2.178653,5.006597,6.791022,4.053363,0.274996
0.020000,12.466258,18.614812,2.281534,5.144060,6.873166,4.107198,0.280393
0.020000,12.567719,18.644315,2.387198,5.283188,6.956385,4.160978,0.285484
0.020000,12.671735,18.675117,2.495678,5.424003,7.040748,4.218163,0.290243
0.020000,12.778337,18.707217,2.607009,5.566528,7.126266,4.275861,0.294644
0.020000,12.887563,18.740610,2.721225,5.710791,7.213116,4.342527,0.298661
0.020000,12.999450,18.775282,2.838361,5.856817,7.301316,4.409987,0.302265
0.020000,13.114040,18.811218,2.958454,6.004639,7.391104,4.489403,0.305429
0.020000,13.231377,18.848394,3.081540,6.154290,7.482562,4.572922,0.308124
0.020000,13.348012,18.885672,3.203987,6.122372,-1.595892,-453.922714,0.311787
0.020000,13.459243,18.922217,3.321068,5.854032,-13.417022,-591.056495,0.322830
0.020000,13.573932,18.961225,3.442208,6.057030,10.149895,1178.345850,0.332578
