dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,10.290423,16.907693,0.000199,0.019900,0.995025,49.751244,0.047149
0.020000,10.290423,16.907693,0.000995,0.059701,1.990050,49.751244,0.047251
0.020000,10.290423,16.907693,0.002786,0.119403,2.985075,49.751244,0.047483
0.020000,10.292827,16.907808,0.005970,0.199005,3.980100,49.751244,0.047894
0.020000,10.297797,16.908047,0.010945,0.298507,4.975124,49.751244,0.048536
0.020000,10.304952,16.908398,0.018109,0.417910,5.970149,49.751244,0.049459
0.020000,10.314492,16.908876,0.027662,0.537313,5.970149,-0.000000,0.050688
0.020000,10.326417,16.909491,0.039602,0.656716,5.970149,0.000000,0.052221
0.020000,10.340725,16.910252,0.053930,0.776119,5.970149,0.000000,0.054056
0.020000,10.357416,16.911173,0.070647,0.895522,5.970149,0.000000,0.056190
0.020000,10.376489,16.912269,0.089751,1.014925,5.970149,0.000000,0.058621
0.020000,10.397943,16.913557,0.111244,1.134328,5.970149,-0.000000,0.061346
0.020000,10.421776,16.915057,0.135124,1.253731,5.970149,0.000000,0.064359
0.020000,10.447988,16.916790,0.161393,1.373134,5.970149,0.000000,0.067658
0.020000,10.476576,16.918778,0.190050,1.492537,5.970149,-0.000000,0.071236
0.020000,10.507537,16.921048,0.221095,1.611940,5.970149,0.000000,0.075088
0.020000,10.540871,16.923625,0.254527,1.731343,5.970149,-0.000000,0.079209
0.020000,10.576573,16.926537,0.290348,1.850746,5.970149,0.000000,0.083591
0.020000,10.614641,16.929816,0.328557,1.970149,5.970149,0.000000,0.088227
0.020000,10.655071,16.933492,0.369154,2.089552,5.970149,0.000000,0.093109
0.020000,10.697859,16.937598,0.412139,2.208955,5.970149,-0.000000,0.098229
0.020000,10.743002,16.942169,0.457512,2.328358,5.970149,0.000000,0.103577
0.020000,10.790493,16.947239,0.505274,2.447761,5.970149,-0.000000,0.109143
0.020000,10.840328,16.952846,0.555423,2.567164,5.970149,0.000000,0.114916
0.020000,10.892500,16.959026,0.607960,2.686567,5.970149,0.000000,0.120886
0.020000,10.947004,16.965818,0.662886,2.805970,5.970149,0.000000,0.127039
0.020000,11.003832,16.973260,0.720199,2.925373,5.970149,-0.000000,0.133363
0.020000,11.062977,16.981390,0.779900,3.044776,5.970149,0.000000,0.139844
0.020000,11.124431,16.990249,0.841990,3.164179,5.970149,-0.000000,0.146468
0.020000,11.188186,16.999875,0.906468,3.283582,5.970149,0.000000,0.153219
0.020000,11.254233,17.010308,0.973333,3.402985,5.970149,0.000000,0.160081
0.020000,11.322562,17.021585,1.042587,3.522388,5.970149,-0.000000,0.167038
0.020000,11.393164,17.033746,1.114229,3.641791,5.970149,0.000000,0.174071
0.020000,11.466029,17.046827,1.188259,3.761194,5.970149,-0.000000,0.181163
0.020000,11.541146,17.060864,1.264677,3.880597,5.970149,0.000000,0.188296
0.020000,11.618506,17.075894,1.343483,4.000000,5.970149,-0.000000,0.195448
0.020000,11.698097,17.091948,1.424677,4.119403,5.970149,-0.000000,0.202601
0.020000,11.779908,17.109060,1.508259,4.238806,5.970149,0.000000,0.209734
0.020000,11.863930,17.127259,1.594229,4.358209,5.970149,0.000000,0.216824
0.020000,11.950151,17.146572,1.682587,4.477612,5.970149,0.000000,0.223851
0.020000,12.038562,17.167025,1.773333,4.597015,5.970149,-0.000000,0.230792
0.020000,12.129153,17.188642,1.866468,4.716418,5.970149,0.000000,0.237624
0.020000,12.221915,17.211440,1.961990,4.835821,5.970149,-0.000000,0.244323
0.020000,12.316839,17.235438,2.059900,4.955224,5.970149,0.000000,0.250867
0.020000,12.413917,17.260648,2.160199,5.074627,5.970149,0.000000,0.257231
0.020000,12.513143,17.287081,2.262886,5.194030,5.970149,-0.000000,0.263390
0.020000,12.614511,17.314741,2.367960,5.313433,5.970149,0.000000,0.269320
0.020000,12.718018,17.343632,2.475423,5.432836,5.970149,0.000000,0.274996
0.020000,12.823659,17.373750,2.585274,5.552239,5.970149,-0.000000,0.280393
0.020000,12.931434,17.405088,2.697512,5.671642,5.970149,0.000000,0.285484
0.020000,13.041343,17.437635,2.812139,5.791045,5.970149,-0.000000,0.290243
0.020000,13.153388,17.471374,2.929154,5.910448,5.970149,0.000000,0.294644
0.020000,13.267574,17.506282,3.048557,6.029851,5.970149,0.000000,0.298661
0.020000,13.383907,17.542333,3.170348,6.149254,5.970149,-0.000000,0.302265
0.020000,13.502396,17.579491,3.294527,6.268657,5.970149,0.000000,0.305429
0.020000,13.623053,17.617718,3.421095,6.388060,5.970149,-0.000000,0.308124
0.020000,13.744192,17.656439,3.550050,6.507463,5.970149,0.000000,0.311787
0.020000,13.868973,17.697434,3.681393,6.626866,5.970149,0.000000,0.322830
0.020000,13.995582,17.740494,3.815124,6.746269,5.970149,-0.000000,0.332578
0.020000,14.124049,17.785489,3.951244,6.865672,5.970149,0.000000,0.340946
0.020000,14.254417,17.832271,4.089751,6.985075,5.970149,-0.000000,0.347846
0.020000,14.386738,17.880671,4.230647,7.104478,5.970149,0.000000,0.353195
