dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,9.887297,15.524802,0.000199,0.019900,0.995025,49.751244,0.047286
0.020000,9.887376,15.524805,0.000278,0.003973,-0.796362,-89.569350,0.047348
0.020000,9.887555,15.524814,0.000457,0.008940,0.248355,52.235870,0.047486
0.020000,9.889799,15.524921,0.002704,0.112331,5.169537,246.059102,0.047732
0.020000,9.895265,15.525183,0.008176,0.273599,8.063408,144.693523,0.048117
0.020000,9.903135,15.525564,0.016056,0.393996,6.019854,-102.177676,0.048671
0.020000,9.913630,15.526079,0.026563,0.525351,6.567730,27.393789,0.049410
0.020000,9.926748,15.526734,0.039697,0.656727,6.568821,0.054525,0.050335
0.020000,9.942490,15.527536,0.055460,0.788128,6.570038,0.060851,0.051446
0.020000,9.960856,15.528494,0.073851,0.919558,6.571505,0.073357,0.052742
0.020000,9.981847,15.529617,0.094872,1.051023,6.573218,0.085655,0.054226
0.020000,10.005461,15.530919,0.118522,1.182528,6.575251,0.101652,0.055897
0.020000,10.031700,15.532412,0.144804,1.314075,6.577376,0.106268,0.057756
0.020000,10.060564,15.534110,0.173717,1.445670,6.579749,0.118631,0.059804
0.020000,10.092052,15.536031,0.205263,1.577320,6.582504,0.137750,0.062041
0.020000,10.126164,15.538191,0.239444,1.709026,6.585276,0.138594,0.064469
0.020000,10.162900,15.540611,0.276260,1.840790,6.588234,0.147934,0.067089
0.020000,10.202260,15.543312,0.315712,1.972621,6.591516,0.164076,0.069900
0.020000,10.244243,15.546314,0.357803,2.104520,6.594945,0.171459,0.072906
0.020000,10.288849,15.549644,0.402532,2.236487,6.598376,0.171536,0.076106
0.020000,10.336076,15.553326,0.449903,2.368529,6.602106,0.186500,0.079501
0.020000,10.385924,15.557387,0.499916,2.500649,6.605984,0.193894,0.083094
0.020000,10.438391,15.561857,0.552573,2.632846,6.609870,0.194296,0.086885
0.020000,10.493475,15.566766,0.607875,2.765124,6.613903,0.201693,0.090875
0.020000,10.551174,15.572146,0.665825,2.897485,6.618057,0.207685,0.095066
0.020000,10.611487,15.578030,0.726424,3.029931,6.622267,0.210496,0.099459
0.020000,10.674409,15.584455,0.789673,3.162458,6.626348,0.204052,0.104055
0.020000,10.739937,15.591457,0.855574,3.295071,6.630678,0.216482,0.108855
0.020000,10.808068,15.599076,0.924130,3.427768,6.634818,0.207010,0.113862
0.020000,10.878796,15.607351,0.995340,3.560547,6.638958,0.207025,0.119075
0.020000,10.952117,15.616324,1.069209,3.693407,6.643004,0.202270,0.124497
0.020000,11.028025,15.626041,1.145736,3.826348,6.647028,0.201225,0.130129
0.020000,11.106512,15.636546,1.224923,3.959363,6.650763,0.186742,0.135972
0.020000,11.187572,15.647886,1.306772,4.092451,6.654401,0.181902,0.142026
0.020000,11.271195,15.660111,1.391284,4.225607,6.657806,0.170256,0.148293
0.020000,11.357373,15.673270,1.478460,4.358826,6.660967,0.158009,0.154775
0.020000,11.446094,15.687417,1.568302,4.492101,6.663718,0.137581,0.161471
0.020000,11.537347,15.702605,1.660811,4.625425,6.666238,0.125996,0.168383
0.020000,11.631120,15.718889,1.755987,4.758791,6.668292,0.102713,0.175511
0.020000,11.727397,15.736328,1.853831,4.892189,6.669865,0.078609,0.182856
0.020000,11.826163,15.754978,1.954343,5.025608,6.670983,0.055923,0.190417
0.020000,11.927403,15.774901,2.057524,5.159038,6.671516,0.026655,0.198197
0.020000,12.031096,15.796157,2.163373,5.292467,6.671443,-0.003668,0.206193
0.020000,12.137222,15.818810,2.271890,5.425881,6.670690,-0.037649,0.214406
0.020000,12.245761,15.842925,2.383076,5.559265,6.669210,-0.073985,0.222836
0.020000,12.356689,15.868565,2.496928,5.692604,6.666949,-0.113069,0.231482
0.020000,12.469979,15.895799,2.613446,5.825881,6.663825,-0.156196,0.240342
0.020000,12.585605,15.924693,2.732627,5.959077,6.659823,-0.200107,0.249416
0.020000,12.703537,15.955316,2.854471,6.092175,6.654863,-0.247984,0.258703
0.020000,12.823745,15.987739,2.978974,6.225151,6.648834,-0.301445,0.268199
0.020000,12.946193,16.022030,3.106133,6.357987,6.641785,-0.352471,0.277904
0.020000,13.070848,16.058261,3.235947,6.490660,6.633647,-0.406897,0.287814
0.020000,13.197670,16.096503,3.368409,6.623145,6.624237,-0.470476,0.297926
0.020000,13.326621,16.136828,3.503518,6.755419,6.613697,-0.527005,0.308238
0.020000,13.457656,16.179308,3.641267,6.887457,6.601912,-0.589242,0.318746
0.020000,13.590732,16.224013,3.781652,7.019233,6.588804,-0.655418,0.329445
0.020000,13.725802,16.271017,3.924666,7.150721,6.574391,-0.720625,0.340332
0.020000,13.862815,16.320390,4.070304,7.281892,6.558582,-0.790486,0.351401
0.020000,14.001721,16.372204,4.218558,7.412724,6.541599,-0.849135,0.362646
0.020000,14.142465,16.426527,4.369422,7.543186,6.523074,-0.926250,0.374063
0.020000,14.281848,16.482135,4.519488,7.503300,-1.994267,-425.867058,0.384949
0.020000,14.424942,16.541009,4.674221,7.736648,11.667398,683.083247,0.395664
0.020000,14.569543,16.602318,4.831282,7.853031,5.819111,-292.414324,0.406332
0.020000,14.715596,16.666085,4.990648,7.968320,5.764493,-2.730903,0.416937
0.020000,14.863050,16.732326,5.152298,8.082508,5.709369,-2.756190,0.427460
0.020000,15.011856,16.801057,5.316210,8.195585,5.653865,-2.775238,0.437886
0.020000,15.161963,16.872288,5.482361,8.307549,5.598201,-2.783158,0.448196
0.020000,15.313134,16.945928,5.650513,8.407619,5.003485,-29.735833,0.458361
0.020000,15.464941,17.021780,5.820216,8.485143,3.876183,-56.365092,0.468340
0.020000,15.616975,17.099629,5.991023,8.540335,2.759611,-55.828599,0.478095
0.020000,15.768839,17.179245,6.162491,8.573421,1.654310,-55.265041,0.487592
0.020000,15.920150,17.260385,6.334184,8.584634,0.560677,-54.681648,0.496800
0.020000,16.070536,17.342790,6.505668,8.574213,-0.521066,-54.087163,0.505692
0.020000,16.219828,17.426298,6.676729,8.553021,-1.059593,-26.926368,0.514257
0.020000,16.368045,17.510846,6.847364,8.531790,-1.061546,-0.097617,0.522492
0.020000,16.515207,17.596375,7.017575,8.510545,-1.062263,-0.035881,0.530399
0.020000,16.663410,17.684179,7.189836,8.613035,5.124481,309.337206,0.541450
0.020000,16.818356,17.779189,7.371592,9.087783,23.737421,930.647017,0.558297
0.020000,16.969072,17.874872,7.550115,8.926165,-8.080894,-1590.915755,0.572641
0.020000,17.115798,17.970739,7.725383,8.763417,-8.137412,-2.825888,0.584464
0.020000,17.258788,18.066336,7.897386,8.600138,-8.163960,-1.327436,0.593758
0.020000,17.398303,18.161239,8.066120,8.436697,-8.172066,-0.405256,0.600521
0.020000,17.534602,18.255056,8.231586,8.273278,-8.170928,0.056899,0.604753
0.020000,17.667936,18.347417,8.393784,8.109933,-8.167252,0.183766,0.606455
0.020000,17.798544,18.437975,8.552717,7.946628,-8.165243,0.100476,0.605629
0.020000,17.926654,18.526406,8.708383,7.783296,-8.166582,-0.066979,0.602273
0.020000,18.052472,18.612399,8.860780,7.619887,-8.170456,-0.193664,0.596387
0.020000,18.176188,18.695666,9.009909,7.456417,-8.173533,-0.153849,0.587969
0.020000,18.297977,18.775934,9.155769,7.293017,-8.169971,0.178087,0.577022
