dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.325598,11.700767,0.000200,0.019972,0.998583,49.929134,6.281770
0.020000,5.325366,11.700768,0.000431,0.011572,-0.419969,-70.927569,6.281949
0.020000,5.324846,11.700768,0.000951,0.026005,0.721657,57.081300,6.282352
0.020000,5.323924,11.700769,0.001874,0.046122,1.005823,14.208268,6.283066
0.020000,5.326947,11.700770,0.004897,0.151162,5.252023,212.310005,0.000992
0.020000,5.332084,11.700779,0.010033,0.256823,5.283020,1.549845,0.002582
0.020000,5.338957,11.700804,0.016906,0.343653,4.341521,-47.074922,0.004683
0.020000,5.347587,11.700856,0.025537,0.431540,4.394320,2.639955,0.007279
0.020000,5.358000,11.700948,0.035951,0.520671,4.456591,3.113527,0.010350
0.020000,5.370226,11.701096,0.048178,0.611347,4.533761,3.858505,0.013872
0.020000,5.384299,11.701319,0.062252,0.703715,4.618409,4.232404,0.017820
0.020000,5.400256,11.701638,0.078212,0.798028,4.715664,4.862762,0.022163
0.020000,5.418138,11.702077,0.096100,0.894378,4.817508,5.092173,0.026869
0.020000,5.437991,11.702661,0.115961,0.993036,4.932902,5.769692,0.031903
0.020000,5.459859,11.703418,0.137842,1.094084,5.052366,5.973198,0.037229
0.020000,5.483792,11.704376,0.161794,1.197594,5.175540,6.158715,0.042806
0.020000,5.509840,11.705568,0.187870,1.303763,5.308456,6.645831,0.048596
0.020000,5.538055,11.707026,0.216122,1.412624,5.443039,6.729133,0.054556
0.020000,5.568488,11.708781,0.246606,1.524183,5.577940,6.745034,0.060643
0.020000,5.601193,11.710869,0.279378,1.638589,5.720287,7.117372,0.066814
0.020000,5.636223,11.713324,0.314494,1.755814,5.861267,7.048989,0.073026
0.020000,5.673631,11.716179,0.352010,1.875831,6.000822,6.977734,0.079235
0.020000,5.713470,11.719467,0.391985,1.998732,6.145094,7.213639,0.085396
0.020000,5.755794,11.723221,0.434474,2.124468,6.286791,7.084826,0.091466
0.020000,5.800652,11.727472,0.479534,2.252989,6.426037,6.962308,0.097401
0.020000,5.848100,11.732248,0.527222,2.384365,6.568787,7.137481,0.103157
0.020000,5.898188,11.737576,0.577592,2.518542,6.708844,7.002867,0.108692
0.020000,5.950969,11.743478,0.630702,2.655486,6.847201,6.917825,0.113961
0.020000,6.006495,11.749976,0.686607,2.795265,6.988948,7.087352,0.118921
0.020000,6.064821,11.757084,0.745364,2.937850,7.129279,7.016580,0.123529
0.020000,6.126000,11.764815,0.807030,3.083295,7.272259,7.149001,0.127741
0.020000,6.190090,11.773173,0.871663,3.231638,7.417149,7.244493,0.131510
0.020000,6.257150,11.782159,0.939322,3.382968,7.566498,7.467428,0.134792
0.020000,6.327243,11.791766,1.010070,3.537404,7.721790,7.764633,0.137538
0.020000,6.400435,11.801982,1.083972,3.695099,7.884732,8.147057,0.139698
0.020000,6.476800,11.812784,1.161097,3.856233,8.056713,8.599056,0.141218
0.020000,6.556415,11.824141,1.241518,4.021061,8.241377,9.233232,0.142041
0.020000,6.639368,11.836012,1.325316,4.189883,8.441126,9.987430,0.142106
0.020000,6.725754,11.848344,1.412578,4.363083,8.659984,10.942915,0.141344
0.020000,6.815680,11.861070,1.503400,4.541120,8.901840,12.092812,0.139680
0.020000,6.909267,11.874109,1.597891,4.724550,9.171534,13.484693,0.137032
0.020000,7.006651,11.887361,1.696172,4.914073,9.476132,15.229897,0.133305
0.020000,7.107986,11.900706,1.798382,5.110482,9.820470,17.216893,0.128391
0.020000,7.213447,11.913997,1.904678,5.314783,10.215054,19.729202,0.122169
0.020000,7.323236,11.927061,2.015241,5.528151,10.668374,22.666017,0.114499
0.020000,7.437582,11.939687,2.130282,5.752065,11.195701,26.366324,0.105217
0.020000,7.556750,11.951619,2.250046,5.988190,11.806261,30.528001,0.094134
0.020000,7.681043,11.962550,2.374819,6.238667,12.523828,35.878378,0.081027
0.020000,7.810810,11.972102,2.504937,6.505903,13.361800,41.898580,0.065637
0.020000,7.946451,11.979816,2.640797,6.792989,14.354325,49.626254,0.047657
0.020000,8.088418,11.985125,2.782863,7.103287,15.514884,58.027943,0.026727
0.020000,8.237223,11.987324,2.931685,7.441087,16.889995,68.755559,0.002420
0.020000,8.393167,11.985544,3.087639,7.797730,17.832185,47.109501,6.257476
0.020000,8.556287,11.978745,3.250900,8.163055,18.266249,21.703177,6.225079
0.020000,8.726551,11.965712,3.421663,8.538125,18.753493,24.362213,6.187954
0.020000,8.903796,11.945044,3.600109,8.922288,19.208122,22.731425,6.145651
0.020000,9.087623,11.915159,3.786349,9.312002,19.485709,13.879388,6.097773
0.020000,9.277246,11.874354,3.980312,9.698192,19.309481,-8.811408,6.044053
0.020000,9.471365,11.820917,4.181652,10.066971,18.438956,-43.526234,5.984440
0.020000,9.668045,11.753312,4.389627,10.398781,16.590503,-92.422666,5.919197
0.020000,9.864638,11.670463,4.602964,10.666818,13.401849,-159.432684,5.849001
0.020000,10.057853,11.572074,4.819788,10.841191,8.718688,-234.158086,5.774995
