dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.323770,10.409269,0.000200,0.019972,0.998583,49.929134,6.281770
0.020000,5.323770,10.409269,0.000999,0.059915,1.997165,49.929134,6.281949
0.020000,5.323770,10.409269,0.002796,0.119830,2.995748,49.929134,6.282352
0.020000,5.323770,10.409269,0.005991,0.199717,3.994331,49.929134,6.283066
0.020000,5.328228,10.409271,0.010984,0.299575,4.992913,49.929134,0.000992
0.020000,5.335418,10.409284,0.018174,0.419405,5.991496,49.929134,0.002582
0.020000,5.345005,10.409319,0.027761,0.539235,5.991496,0.000000,0.004683
0.020000,5.356988,10.409390,0.039744,0.659065,5.991496,-0.000000,0.007279
0.020000,5.371366,10.409517,0.054123,0.778894,5.991496,0.000000,0.010350
0.020000,5.388142,10.409720,0.070899,0.898724,5.991496,0.000000,0.013872
0.020000,5.407312,10.410024,0.090072,1.018554,5.991496,0.000000,0.017820
0.020000,5.428877,10.410456,0.111642,1.138384,5.991496,-0.000000,0.022163
0.020000,5.452836,10.411043,0.135608,1.258214,5.991496,0.000000,0.026869
0.020000,5.479187,10.411818,0.161970,1.378044,5.991496,0.000000,0.031903
0.020000,5.507929,10.412813,0.190729,1.497874,5.991496,0.000000,0.037229
0.020000,5.539059,10.414060,0.221885,1.617704,5.991496,0.000000,0.042806
0.020000,5.572577,10.415593,0.255437,1.737534,5.991496,-0.000000,0.048596
0.020000,5.608478,10.417447,0.291386,1.857364,5.991496,0.000000,0.054556
0.020000,5.646760,10.419655,0.329732,1.977194,5.991496,0.000000,0.060643
0.020000,5.687419,10.422251,0.370474,2.097024,5.991496,0.000000,0.066814
0.020000,5.730453,10.425266,0.413613,2.216854,5.991496,0.000000,0.073026
0.020000,5.775856,10.428731,0.459148,2.336683,5.991496,-0.000000,0.079235
0.020000,5.823625,10.432673,0.507080,2.456513,5.991496,-0.000000,0.085396
0.020000,5.873757,10.437120,0.557409,2.576343,5.991496,0.000000,0.091466
0.020000,5.926247,10.442093,0.610134,2.696173,5.991496,-0.000000,0.097401
0.020000,5.981092,10.447614,0.665256,2.816003,5.991496,0.000000,0.103157
0.020000,6.038287,10.453697,0.722774,2.935833,5.991496,0.000000,0.108692
0.020000,6.097831,10.460356,0.782689,3.055663,5.991496,-0.000000,0.113961
0.020000,6.159720,10.467598,0.845001,3.175493,5.991496,-0.000000,0.118921
0.020000,6.223953,10.475426,0.909709,3.295323,5.991496,0.000000,0.123529
0.020000,6.290529,10.483837,0.976814,3.415153,5.991496,-0.000000,0.127741
0.020000,6.359447,10.492825,1.046315,3.534983,5.991496,0.000000,0.131510
0.020000,6.430708,10.502374,1.118213,3.654813,5.991496,0.000000,0.134792
0.020000,6.504314,10.512463,1.192507,3.774643,5.991496,-0.000000,0.137538
0.020000,6.580269,10.523064,1.269199,3.894472,5.991496,0.000000,0.139698
0.020000,6.658577,10.534140,1.348286,4.014302,5.991496,0.000000,0.141218
0.020000,6.739245,10.545647,1.429771,4.134132,5.991496,-0.000000,0.142041
0.020000,6.822280,10.557530,1.513652,4.253962,5.991496,0.000000,0.142106
0.020000,6.907692,10.569723,1.599929,4.373792,5.991496,0.000000,0.141344
0.020000,6.995491,10.582148,1.688603,4.493622,5.991496,-0.000000,0.139680
0.020000,7.085691,10.594716,1.779674,4.613452,5.991496,0.000000,0.137032
0.020000,7.178304,10.607319,1.873141,4.733282,5.991496,-0.000000,0.133305
0.020000,7.273348,10.619836,1.969005,4.853112,5.991496,0.000000,0.128391
0.020000,7.370837,10.632123,2.067266,4.972942,5.991496,-0.000000,0.122169
0.020000,7.470788,10.644018,2.167923,5.092772,5.991496,0.000000,0.114499
0.020000,7.573219,10.655329,2.270977,5.212602,5.991496,-0.000000,0.105217
0.020000,7.678144,10.665837,2.376427,5.332432,5.991496,0.000000,0.094134
0.020000,7.785576,10.675287,2.484274,5.452261,5.991496,-0.000000,0.081027
0.020000,7.895520,10.683383,2.594518,5.572091,5.991496,0.000000,0.065637
0.020000,8.007977,10.689783,2.707158,5.691921,5.991496,0.000000,0.047657
0.020000,8.122931,10.694086,2.822194,5.811751,5.991496,-0.000000,0.026727
0.020000,8.240349,10.695828,2.939628,5.931581,5.991496,0.000000,0.002420
0.020000,8.359967,10.694470,3.059258,6.031439,4.992913,-49.929134,6.257476
0.020000,8.481285,10.689425,3.180686,6.111326,3.994331,-49.929134,6.225079
0.020000,8.603746,10.680064,3.303511,6.171241,2.995748,-49.929134,6.187954
0.020000,8.726730,10.665739,3.427336,6.211184,1.997165,-49.929134,6.145651
0.020000,8.849532,10.645795,3.551759,6.231156,0.998583,-49.929134,6.097773
0.020000,8.971342,10.619605,3.676367,6.229684,-0.073596,-53.608923,6.044053
0.020000,9.091249,10.586622,3.800747,6.208240,-1.072178,-49.929134,5.984440
0.020000,9.208266,10.546425,3.924497,6.166825,-2.070761,-49.929134,5.919197
0.020000,9.321342,10.498796,4.047220,6.105438,-3.069344,-49.929134,5.849001
0.020000,9.429413,10.443785,4.168515,6.024080,-4.067927,-49.929134,5.774995
0.020000,9.531481,10.381754,4.287983,5.922750,-5.066509,-49.929134,5.698746
0.020000,9.626707,10.313384,4.405240,5.802920,-5.991496,-46.249345,5.622085
0.020000,9.714624,10.239512,4.520100,5.683090,-5.991496,0.000000,5.546761
0.020000,9.795121,10.161010,4.632564,5.563260,-5.991496,-0.000000,5.474221
0.020000,9.868283,10.078807,4.742631,5.443430,-5.991496,0.000000,5.405584
0.020000,9.934364,9.993823,4.850301,5.323600,-5.991496,-0.000000,5.341585
0.020000,9.993743,9.906914,4.955575,5.203770,-5.991496,0.000000,5.282591
0.020000,10.046887,9.818842,5.058452,5.083940,-5.991496,0.000000,5.228664
0.020000,10.094301,9.730262,5.158932,4.964110,-5.991496,-0.000000,5.179649
0.020000,10.136499,9.641730,5.257016,4.844280,-5.991496,0.000000,5.135260
0.020000,10.173984,9.553698,5.352703,4.724450,-5.991496,-0.000000,5.095128
0.020000,10.207228,9.466537,5.445994,4.604621,-5.991496,0.000000,5.058865
0.020000,10.236671,9.380545,5.536888,4.484791,-5.991496,0.000000,5.026083
0.020000,10.262711,9.295971,5.625386,4.364961,-5.991496,-0.000000,4.996416
0.020000,10.285711,9.213001,5.711487,4.245131,-5.991496,0.000000,4.969527
0.020000,10.305997,9.131796,5.795191,4.125301,-5.991496,-0.000000,4.945112
0.020000,10.323859,9.052475,5.876499,4.005471,-5.991496,0.000000,4.922900
0.020000,10.339558,8.975145,5.955410,3.885641,-5.991496,0.000000,4.902655
0.020000,10.353326,8.899880,6.031924,3.765811,-5.991496,0.000000,4.884165
0.020000,10.365371,8.826749,6.106042,3.645981,-5.991496,-0.000000,4.867248
0.020000,10.375879,8.755801,6.177763,3.526151,-5.991496,0.000000,4.851742
0.020000,10.385015,8.687082,6.247088,3.406321,-5.991496,0.000000,4.837507
0.020000,10.392929,8.620624,6.314016,3.286491,-5.991496,-0.000000,4.824420
0.020000,10.399754,8.556456,6.378548,3.166661,-5.991496,-0.000000,4.812373
0.020000,10.405610,8.494598,6.440683,3.046832,-5.991496,0.000000,4.801272
0.020000,10.410607,8.435066,6.500421,2.927002,-5.991496,0.000000,4.791032
0.020000,10.414839,8.377884,6.557763,2.807172,-5.991496,-0.000000,4.781581
0.020000,10.418397,8.323054,6.612708,2.687342,-5.991496,0.000000,4.772854
0.020000,10.421360,8.270586,6.665257,2.567512,-5.991496,0.000000,4.764794
0.020000,10.423800,8.220497,6.715408,2.447682,-5.991496,0.000000,4.757350
0.020000,10.425781,8.172783,6.763164,2.327852,-5.991496,0.000000,4.750477
0.020000,10.427364,8.127452,6.808523,2.208022,-5.991496,0.000000,4.744135
0.020000,10.428602,8.084506,6.851485,2.088192,-5.991496,-0.000000,4.738289
0.020000,10.429543,8.043954,6.892050,1.968362,-5.991496,0.000000,4.732908
0.020000,10.430231,8.005790,6.930219,1.848532,-5.991496,-0.000000,4.727962
0.020000,10.430707,7.970021,6.965992,1.728702,-5.991496,0.000000,4.723428
0.020000,10.431006,7.936648,6.999367,1.608872,-5.991496,0.000000,4.719282
0.020000,10.431161,7.905665,7.030346,1.489043,-5.991496,0.000000,4.715505
0.020000,10.431201,7.877086,7.058929,1.369213,-5.991496,-0.000000,4.712081
0.020000,10.431152,7.850900,7.085115,1.249383,-5.991496,0.000000,4.708992
0.020000,10.431038,7.827111,7.108904,1.129553,-5.991496,0.000000,4.706225
0.020000,10.430880,7.805715,7.130297,1.009723,-5.991496,-0.000000,4.703768
0.020000,10.430696,7.786724,7.149293,0.889893,-5.991496,0.000000,4.701612
0.020000,10.430502,7.770124,7.165893,0.770063,-5.991496,-0.000000,4.699746
0.020000,10.430311,7.755920,7.180096,0.650233,-5.991496,0.000000,4.698163
0.020000,10.430135,7.744116,7.191902,0.530403,-5.991496,0.000000,4.696857
0.020000,10.429984,7.734710,7.201312,0.410573,-5.991496,-0.000000,4.695822
0.020000,10.429865,7.727682,7.208340,0.292215,-5.917900,3.679789,4.695052
0.020000,10.429779,7.722824,7.213200,0.193829,-4.919318,49.929134,4.694522
0.020000,10.429724,7.719730,7.216293,0.115414,-3.920735,49.929134,4.694185
0.020000,10.429692,7.718005,7.218016,0.056971,-2.922152,49.929134,4.693997
0.020000,10.429678,7.717250,7.218771,0.018500,-1.923570,49.929134,4.693915
0.020000,10.429675,7.717064,7.218956,0.000000,-0.924987,49.929134,4.693895
0.020000,10.429675,7.717064,7.218956,0.000000,0.000000,46.249345,4.693895
