dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.321942,9.117770,0.000200,0.019972,0.998583,49.929134,6.281770
0.020000,5.322174,9.117770,0.000431,0.011572,-0.419969,-70.927569,6.281949
0.020000,5.322694,9.117769,0.000951,0.026005,0.721657,57.081300,6.282352
0.020000,5.323616,9.117769,0.001874,0.046122,1.005823,14.208268,6.283066
0.020000,5.329510,9.117772,0.007767,0.294681,12.427979,571.107817,0.000992
0.020000,5.338753,9.117788,0.017011,0.462169,8.374361,-202.680893,0.002582
0.020000,5.351053,9.117833,0.029310,0.614982,7.640657,-36.685187,0.004683
0.020000,5.366388,9.117925,0.044646,0.766788,7.590297,-2.518025,0.007279
0.020000,5.384733,9.118086,0.062991,0.917257,7.523445,-3.342577,0.010350
0.020000,5.406057,9.118345,0.084317,1.066286,7.451458,-3.599367,0.013872
0.020000,5.430325,9.118729,0.108588,1.213551,7.363271,-4.409343,0.017820
0.020000,5.457498,9.119273,0.135767,1.358953,7.270094,-4.658840,0.022163
0.020000,5.487533,9.120010,0.165810,1.502166,7.160634,-5.473032,0.026869
0.020000,5.520383,9.120975,0.198675,1.643219,7.052658,-5.398802,0.031903
0.020000,5.555999,9.122208,0.234312,1.781874,6.932738,-5.995967,0.037229
0.020000,5.594327,9.123743,0.272671,1.917940,6.803291,-6.472389,0.042806
0.020000,5.635314,9.125618,0.313700,2.051472,6.676621,-6.333463,0.048596
0.020000,5.678902,9.127869,0.357347,2.182316,6.542177,-6.722218,0.054556
0.020000,5.725032,9.130529,0.403553,2.310327,6.400598,-7.078967,0.060643
0.020000,5.773645,9.133633,0.452266,2.435626,6.264919,-6.783921,0.066814
0.020000,5.824682,9.137208,0.503428,2.558097,6.123553,-7.068331,0.073026
0.020000,5.878080,9.141283,0.556981,2.677666,5.978442,-7.255545,0.079235
0.020000,5.933780,9.145879,0.612870,2.794460,5.839706,-6.936780,0.085396
0.020000,5.991721,9.151018,0.671039,2.908415,5.697763,-7.097130,0.091466
0.020000,6.051842,9.156715,0.731428,3.019490,5.553723,-7.202042,0.097401
0.020000,6.114083,9.162979,0.793984,3.127806,5.415808,-6.895748,0.103157
