dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000030,1.291500,0.000197,0.019711,0.985551,49.277543,6.283162
0.020000,0.000028,1.291500,0.000199,0.000116,-0.979727,-98.263902,6.283164
0.020000,0.000023,1.291500,0.000205,0.000262,0.007276,49.350179,6.283168
0.020000,0.000013,1.291500,0.000214,0.000466,0.010178,0.145079,6.283175
0.020000,0.000394,1.291500,0.000594,0.019012,0.927341,45.858172,0.000001
0.020000,0.007469,1.291500,0.007669,0.353753,16.737021,790.483992,0.000017
0.020000,0.016902,1.291500,0.017103,0.471673,5.895991,-542.051536,0.000039
0.020000,0.028694,1.291501,0.028895,0.589594,5.896085,0.004741,0.000066
0.020000,0.042844,1.291502,0.043045,0.707518,5.896204,0.005925,0.000098
0.020000,0.059353,1.291504,0.059554,0.825445,5.896346,0.007120,0.000135
0.020000,0.078221,1.291507,0.078421,0.943376,5.896512,0.008275,0.000178
0.020000,0.099447,1.291511,0.099648,1.061310,5.896701,0.009477,0.000226
0.020000,0.123032,1.291517,0.123233,1.179248,5.896914,0.010657,0.000278
0.020000,0.148976,1.291525,0.149176,1.297191,5.897152,0.011858,0.000336
0.020000,0.177279,1.291536,0.177479,1.415139,5.897412,0.013006,0.000399
0.020000,0.207940,1.291549,0.208141,1.533093,5.897696,0.014238,0.000467
0.020000,0.240961,1.291565,0.241162,1.651053,5.898004,0.015389,0.000539
0.020000,0.276342,1.291586,0.276542,1.769020,5.898336,0.016581,0.000616
0.020000,0.314082,1.291611,0.314282,1.886994,5.898691,0.017752,0.000698
0.020000,0.354181,1.291640,0.354382,2.004975,5.899070,0.018964,0.000783
0.020000,0.396640,1.291676,0.396841,2.122965,5.899473,0.020145,0.000874
0.020000,0.441460,1.291717,0.441660,2.240963,5.899899,0.021315,0.000968
0.020000,0.488639,1.291765,0.488840,2.358970,5.900349,0.022488,0.001066
0.020000,0.538179,1.291820,0.538380,2.476986,5.900823,0.023715,0.001169
0.020000,0.590079,1.291884,0.590280,2.595012,5.901321,0.024857,0.001275
0.020000,0.644340,1.291956,0.644541,2.713049,5.901842,0.026061,0.001384
0.020000,0.700962,1.292037,0.701163,2.831097,5.902387,0.027254,0.001497
0.020000,0.759945,1.292129,0.760146,2.949156,5.902955,0.028415,0.001613
0.020000,0.821289,1.292232,0.821490,3.067227,5.903548,0.029629,0.001732
0.020000,0.884995,1.292346,0.885197,3.185310,5.904164,0.030785,0.001854
0.020000,0.951063,1.292473,0.951265,3.303406,5.904803,0.031995,0.001979
0.020000,1.019494,1.292612,1.019695,3.421516,5.905467,0.033155,0.002106
0.020000,1.090286,1.292766,1.090488,3.539639,5.906154,0.034363,0.002235
0.020000,1.163442,1.292934,1.163643,3.657776,5.906864,0.035531,0.002366
0.020000,1.238960,1.293118,1.239162,3.775928,5.907599,0.036723,0.002499
0.020000,1.316842,1.293318,1.317044,3.894095,5.908357,0.037915,0.002634
0.020000,1.397087,1.293535,1.397289,4.012278,5.909139,0.039082,0.002769
0.020000,1.479696,1.293769,1.479899,4.130477,5.909944,0.040283,0.002906
0.020000,1.564669,1.294022,1.564873,4.248692,5.910774,0.041462,0.003044
0.020000,1.652008,1.294294,1.652211,4.366925,5.911627,0.042643,0.003182
0.020000,1.741711,1.294586,1.741915,4.485175,5.912503,0.043829,0.003320
0.020000,1.833779,1.294898,1.833984,4.603443,5.913404,0.045018,0.003459
0.020000,1.928213,1.295231,1.928418,4.721730,5.914328,0.046200,0.003597
0.020000,2.025013,1.295586,2.025219,4.840035,5.915275,0.047384,0.003734
0.020000,2.124179,1.295963,2.124386,4.958360,5.916247,0.048568,0.003871
0.020000,2.225713,1.296363,2.225920,5.076705,5.917242,0.049755,0.004006
0.020000,2.329613,1.296786,2.329822,5.195070,5.918260,0.050938,0.004140
0.020000,2.435881,1.297233,2.436091,5.313456,5.919303,0.052123,0.004272
0.020000,2.544518,1.297704,2.544728,5.431863,5.920369,0.053307,0.004402
0.020000,2.655522,1.298200,2.655734,5.550293,5.921459,0.054491,0.004529
0.020000,2.768896,1.298720,2.769109,5.668744,5.922572,0.055676,0.004653
0.020000,2.884639,1.299266,2.884853,5.787218,5.923710,0.056861,0.004774
0.020000,3.002752,1.299837,3.002967,5.905716,5.924870,0.058045,0.004892
0.020000,3.123235,1.300433,3.123452,6.024237,5.926055,0.059226,0.005005
0.020000,3.246089,1.301055,3.246308,6.142782,5.927263,0.060417,0.005115
0.020000,3.371315,1.301702,3.371535,6.261352,5.928495,0.061597,0.005219
0.020000,3.498912,1.302374,3.499134,6.379947,5.929751,0.062782,0.005319
0.020000,3.628882,1.303072,3.629105,6.498568,5.931030,0.063968,0.005413
0.020000,3.761224,1.303794,3.761449,6.617214,5.932333,0.065147,0.005501
0.020000,3.895939,1.304541,3.896167,6.735887,5.933660,0.066338,0.005582
0.020000,4.033029,1.305311,4.033259,6.854588,5.935010,0.067519,0.005657
0.020000,4.172493,1.306105,4.172725,6.973315,5.936384,0.068703,0.005725
0.020000,4.314332,1.306922,4.314567,7.092071,5.937782,0.069888,0.005786
0.020000,4.458547,1.307760,4.458784,7.210855,5.939204,0.071074,0.005838
0.020000,4.604941,1.308618,4.605180,7.319816,5.448043,-24.558022,0.005882
0.020000,4.753120,1.309492,4.753362,7.409098,4.464094,-49.197455,0.005917
0.020000,4.902691,1.310379,4.902936,7.478694,3.479831,-49.213175,0.005942
0.020000,5.053261,1.311275,5.053508,7.528599,2.495244,-49.229334,0.005957
0.020000,5.204434,1.312176,5.204684,7.558806,1.510328,-49.245820,0.005963
0.020000,5.355635,1.313078,5.355888,7.560193,0.069349,-72.048915,0.005959
0.020000,5.506288,1.313974,5.506543,7.532750,-1.372121,-72.073497,0.005945
0.020000,5.655997,1.314863,5.656255,7.485585,-2.358275,-49.307720,0.005921
0.020000,5.804368,1.315739,5.804628,7.418690,-3.344760,-49.324227,0.005887
0.020000,5.951006,1.316599,5.951269,7.332058,-4.331568,-49.340413,0.005845
0.020000,6.095518,1.317440,6.095783,7.225685,-5.318691,-49.356168,0.005794
0.020000,6.237689,1.318260,6.237957,7.108681,-5.850164,-26.573655,0.005735
0.020000,6.377505,1.319057,6.377775,6.990908,-5.888687,-1.926123,0.005668
0.020000,6.514965,1.319831,6.515237,6.873106,-5.890086,-0.069978,0.005594
0.020000,6.650068,1.320582,6.650343,6.755277,-5.891462,-0.068794,0.005514
0.020000,6.782815,1.321308,6.783091,6.637420,-5.892814,-0.067609,0.005427
0.020000,6.913204,1.322010,6.913482,6.519537,-5.894143,-0.066420,0.005334
0.020000,7.041234,1.322686,7.041514,6.401628,-5.895448,-0.065245,0.005235
0.020000,7.166907,1.323338,7.167188,6.283694,-5.896729,-0.064053,0.005132
0.020000,7.290220,1.323964,7.290503,6.165734,-5.897986,-0.062871,0.005023
0.020000,7.411173,1.324565,7.411458,6.047750,-5.899220,-0.061689,0.004911
0.020000,7.529767,1.325140,7.530053,5.929741,-5.900430,-0.060499,0.004794
0.020000,7.645999,1.325691,7.646287,5.811709,-5.901616,-0.059321,0.004674
0.020000,7.759871,1.326216,7.760160,5.693653,-5.902779,-0.058133,0.004550
0.020000,7.871382,1.326716,7.871671,5.575575,-5.903918,-0.056950,0.004423
0.020000,7.980530,1.327192,7.980821,5.457474,-5.905033,-0.055763,0.004294
0.020000,8.087316,1.327644,8.087608,5.339352,-5.906125,-0.054583,0.004163
0.020000,8.191739,1.328072,8.192032,5.221208,-5.907193,-0.053395,0.004030
0.020000,8.293799,1.328476,8.294093,5.103043,-5.908237,-0.052212,0.003895
0.020000,8.393496,1.328858,8.393790,4.984858,-5.909258,-0.051027,0.003759
0.020000,8.490828,1.329217,8.491123,4.866653,-5.910255,-0.049844,0.003622
0.020000,8.585796,1.329554,8.586092,4.748428,-5.911228,-0.048657,0.003485
0.020000,8.678399,1.329871,8.678695,4.630185,-5.912177,-0.047473,0.003347
0.020000,8.768637,1.330167,8.768934,4.511923,-5.913103,-0.046290,0.003209
0.020000,8.856510,1.330442,8.856807,4.393643,-5.914005,-0.045104,0.003071
0.020000,8.942016,1.330699,8.942314,4.275345,-5.914883,-0.043920,0.002934
0.020000,9.025157,1.330937,9.025454,4.157030,-5.915738,-0.042734,0.002797
0.020000,9.105930,1.331158,9.106228,4.038699,-5.916569,-0.041549,0.002662
0.020000,9.184337,1.331361,9.184635,3.920351,-5.917377,-0.040374,0.002527
0.020000,9.260377,1.331549,9.260675,3.801988,-5.918160,-0.039170,0.002395
0.020000,9.334049,1.331720,9.334347,3.683610,-5.918920,-0.038002,0.002264
0.020000,9.405353,1.331877,9.405652,3.565217,-5.919656,-0.036813,0.002135
0.020000,9.474289,1.332020,9.474588,3.446809,-5.920369,-0.035621,0.002008
0.020000,9.540856,1.332149,9.541156,3.328388,-5.921058,-0.034449,0.001883
0.020000,9.605055,1.332266,9.605355,3.209954,-5.921723,-0.033251,0.001761
0.020000,9.666885,1.332372,9.667185,3.091506,-5.922364,-0.032077,0.001642
0.020000,9.726346,1.332466,9.726646,2.973047,-5.922982,-0.030884,0.001526
0.020000,9.783438,1.332550,9.783737,2.854575,-5.923576,-0.029705,0.001414
0.020000,9.838159,1.332624,9.838459,2.736092,-5.924146,-0.028512,0.001304
0.020000,9.890511,1.332690,9.890811,2.617598,-5.924693,-0.027344,0.001198
0.020000,9.940493,1.332747,9.940793,2.499094,-5.925216,-0.026149,0.001096
0.020000,9.988105,1.332797,9.988404,2.380580,-5.925715,-0.024952,0.000997
0.020000,10.033346,1.332840,10.033646,2.262056,-5.926191,-0.023787,0.000903
0.020000,10.076216,1.332876,10.076516,2.143523,-5.926643,-0.022590,0.000812
0.020000,10.116716,1.332908,10.117016,2.024982,-5.927071,-0.021416,0.000726
0.020000,10.154845,1.332934,10.155144,1.906432,-5.927475,-0.020217,0.000645
0.020000,10.190602,1.332955,10.190902,1.787875,-5.927856,-0.019055,0.000568
