dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.395424,8.552576,0.000199,0.019944,0.997178,49.858891,0.000547
0.020000,4.395424,8.552576,0.000997,0.059831,1.994356,49.858891,0.000485
0.020000,4.395424,8.552576,0.002792,0.119661,2.991533,49.858891,0.000346
0.020000,4.395424,8.552576,0.005983,0.199436,3.988711,49.858891,0.000099
0.020000,4.399131,8.552576,0.010969,0.299153,4.985889,49.858891,6.282897
0.020000,4.406311,8.552572,0.018149,0.418815,5.983067,49.858891,6.282338
0.020000,4.415884,8.552560,0.027722,0.538476,5.983067,-0.000000,6.281589
0.020000,4.427850,8.552535,0.039688,0.658137,5.983067,0.000000,6.280648
0.020000,4.442209,8.552491,0.054047,0.777799,5.983067,0.000000,6.279512
0.020000,4.458962,8.552418,0.070800,0.897460,5.983067,-0.000000,6.278175
0.020000,4.478107,8.552307,0.089945,1.017121,5.983067,0.000000,6.276634
0.020000,4.499646,8.552147,0.111484,1.136783,5.983067,0.000000,6.274882
0.020000,4.523577,8.551925,0.135417,1.256444,5.983067,0.000000,6.272913
0.020000,4.549901,8.551626,0.161742,1.376105,5.983067,0.000000,6.270720
0.020000,4.578617,8.551233,0.190461,1.495767,5.983067,-0.000000,6.268294
0.020000,4.609725,8.550728,0.221573,1.615428,5.983067,0.000000,6.265626
0.020000,4.643224,8.550091,0.255078,1.735089,5.983067,-0.000000,6.262706
0.020000,4.679113,8.549299,0.290976,1.854751,5.983067,0.000000,6.259522
0.020000,4.717392,8.548327,0.329268,1.974412,5.983067,-0.000000,6.256061
0.020000,4.758060,8.547148,0.369953,2.094073,5.983067,0.000000,6.252311
0.020000,4.801115,8.545731,0.413031,2.213735,5.983067,-0.000000,6.248255
0.020000,4.846555,8.544044,0.458502,2.333396,5.983067,0.000000,6.243878
0.020000,4.894378,8.542051,0.506367,2.453057,5.983067,-0.000000,6.239160
0.020000,4.944581,8.539712,0.556625,2.572719,5.983067,0.000000,6.234082
0.020000,4.997162,8.536984,0.609276,2.692380,5.983067,-0.000000,6.228621
0.020000,5.052115,8.533822,0.664320,2.812041,5.983067,0.000000,6.222755
0.020000,5.109436,8.530174,0.721757,2.931703,5.983067,0.000000,6.216457
0.020000,5.169120,8.525983,0.781588,3.051364,5.983067,0.000000,6.209697
0.020000,5.231159,8.521191,0.843812,3.171025,5.983067,-0.000000,6.202444
0.020000,5.295544,8.515730,0.908429,3.290687,5.983067,0.000000,6.194665
0.020000,5.362267,8.509529,0.975439,3.410348,5.983067,-0.000000,6.186321
0.020000,5.431315,8.502510,1.044843,3.530009,5.983067,0.000000,6.177371
0.020000,5.502672,8.494587,1.116640,3.649671,5.983067,0.000000,6.167769
0.020000,5.576324,8.485666,1.190830,3.769332,5.983067,-0.000000,6.157466
0.020000,5.652248,8.475646,1.267413,3.888994,5.983067,0.000000,6.146407
0.020000,5.730422,8.464416,1.346389,4.008655,5.983067,-0.000000,6.134533
0.020000,5.810816,8.451856,1.427759,4.128316,5.983067,0.000000,6.121777
0.020000,5.893396,8.437832,1.511522,4.247978,5.983067,0.000000,6.108068
0.020000,5.978121,8.422202,1.597678,4.367639,5.983067,-0.000000,6.093328
0.020000,6.064945,8.404807,1.686228,4.487300,5.983067,0.000000,6.077471
0.020000,6.153808,8.385478,1.777170,4.606962,5.983067,-0.000000,6.060403
0.020000,6.244645,8.364027,1.870506,4.726623,5.983067,0.000000,6.042023
0.020000,6.337373,8.340253,1.966235,4.846284,5.983067,0.000000,6.022223
0.020000,6.431898,8.313936,2.064358,4.965946,5.983067,-0.000000,6.000886
0.020000,6.528107,8.284837,2.164873,5.085607,5.983067,0.000000,5.977888
0.020000,6.625867,8.252703,2.267782,5.205268,5.983067,0.000000,5.953100
0.020000,6.725021,8.217257,2.373084,5.324930,5.983067,-0.000000,5.926387
0.020000,6.825383,8.178208,2.480779,5.444591,5.983067,0.000000,5.897615
0.020000,6.926738,8.135246,2.590867,5.564252,5.983067,0.000000,5.866655
0.020000,7.028653,8.088135,2.703150,5.663970,4.985889,-49.858891,5.833445
0.020000,7.130494,8.036747,2.817227,5.743744,3.988711,-49.858891,5.798018
0.020000,7.231613,7.981004,2.932700,5.803575,2.991533,-49.858891,5.760459
0.020000,7.331363,7.920891,3.049170,5.843462,1.994356,-49.858891,5.720911
0.020000,7.429098,7.856464,3.166239,5.863406,0.997178,-49.858891,5.679585
0.020000,7.524176,7.787882,3.283480,5.860648,-0.137896,-56.753716,5.636769
0.020000,7.615988,7.715397,3.400465,5.837946,-1.135074,-49.858891,5.592821
0.020000,7.704003,7.639342,3.516798,5.795301,-2.132252,-49.858891,5.548143
0.020000,7.787755,7.560141,3.632078,5.732713,-3.129430,-49.858891,5.503178
0.020000,7.866859,7.478303,3.745907,5.650180,-4.126608,-49.858891,5.458391
0.020000,7.941020,7.394414,3.857886,5.547705,-5.123786,-49.858891,5.414241
0.020000,8.010053,7.309096,3.967643,5.428043,-5.983067,-42.964067,5.371155
0.020000,8.073982,7.222849,4.075008,5.308382,-5.983067,0.000000,5.329438
0.020000,8.132981,7.136035,4.179979,5.188721,-5.983067,-0.000000,5.289279
0.020000,8.187255,7.049001,4.282556,5.069059,-5.983067,-0.000000,5.250821
0.020000,8.237034,6.962064,4.382741,4.949398,-5.983067,0.000000,5.214157
0.020000,8.282560,6.875522,4.480532,4.829737,-5.983067,0.000000,5.179340
0.020000,8.324086,6.789641,4.575930,4.710075,-5.983067,-0.000000,5.146385
0.020000,8.361869,6.704661,4.668935,4.590414,-5.983067,0.000000,5.115278
0.020000,8.396163,6.620793,4.759547,4.470753,-5.983067,0.000000,5.085982
0.020000,8.427217,6.538224,4.847765,4.351091,-5.983067,0.000000,5.058441
0.020000,8.455275,6.457118,4.933591,4.231430,-5.983067,-0.000000,5.032586
0.020000,8.480567,6.377614,5.017023,4.111769,-5.983067,0.000000,5.008342
0.020000,8.503314,6.299835,5.098061,3.992107,-5.983067,0.000000,4.985628
0.020000,8.523726,6.223885,5.176707,3.872446,-5.983067,-0.000000,4.964361
0.020000,8.541996,6.149855,5.252959,3.752785,-5.983067,-0.000000,4.944459
0.020000,8.558309,6.077822,5.326818,3.633123,-5.983067,0.000000,4.925841
0.020000,8.572836,6.007849,5.398284,3.513462,-5.983067,0.000000,4.908429
0.020000,8.585735,5.939992,5.467357,3.393801,-5.983067,-0.000000,4.892149
0.020000,8.597155,5.874299,5.534036,3.274139,-5.983067,0.000000,4.876932
0.020000,8.607231,5.810807,5.598322,3.154478,-5.983067,0.000000,4.862711
0.020000,8.616091,5.749553,5.660215,3.034817,-5.983067,0.000000,4.849426
0.020000,8.623852,5.690562,5.719715,2.915155,-5.983067,-0.000000,4.837019
0.020000,8.630621,5.633859,5.776822,2.795494,-5.983067,0.000000,4.825438
0.020000,8.636498,5.579462,5.831535,2.675833,-5.983067,0.000000,4.814634
0.020000,8.641575,5.527390,5.883855,2.556171,-5.983067,0.000000,4.804561
0.020000,8.645936,5.477654,5.933782,2.436510,-5.983067,-0.000000,4.795180
0.020000,8.649659,5.430266,5.981315,2.316849,-5.983067,0.000000,4.786451
0.020000,8.652816,5.385237,6.026456,2.197187,-5.983067,-0.000000,4.778341
0.020000,8.655472,5.342572,6.069203,2.077526,-5.983067,0.000000,4.770818
0.020000,8.657688,5.302279,6.109557,1.957865,-5.983067,0.000000,4.763852
0.020000,8.659518,5.264362,6.147517,1.838203,-5.983067,0.000000,4.757418
0.020000,8.661014,5.228827,6.183085,1.718542,-5.983067,-0.000000,4.751492
0.020000,8.662220,5.195675,6.216259,1.598880,-5.983067,0.000000,4.746051
0.020000,8.663180,5.164908,6.247040,1.479219,-5.983067,0.000000,4.741077
0.020000,8.663930,5.136531,6.275428,1.359558,-5.983067,-0.000000,4.736551
0.020000,8.664504,5.110543,6.301422,1.239896,-5.983067,0.000000,4.732458
0.020000,8.664934,5.086945,6.325024,1.120235,-5.983067,0.000000,4.728784
0.020000,8.665247,5.065739,6.346232,1.000574,-5.983067,-0.000000,4.725516
0.020000,8.665467,5.046925,6.365047,0.880912,-5.983067,0.000000,4.722643
0.020000,8.665615,5.030504,6.381468,0.761251,-5.983067,0.000000,4.720155
0.020000,8.665709,5.016477,6.395497,0.641590,-5.983067,-0.000000,4.718045
0.020000,8.665765,5.004841,6.407132,0.521928,-5.983067,0.000000,4.716304
0.020000,8.665795,4.995599,6.416374,0.402267,-5.983067,0.000000,4.714928
0.020000,8.665809,4.988723,6.423250,0.285364,-5.845170,6.894824,4.713908
0.020000,8.665814,4.983986,6.427988,0.188404,-4.847993,49.858891,4.713207
0.020000,8.665816,4.980988,6.430986,0.111388,-3.850815,49.858891,4.712764
0.020000,8.665817,4.979330,6.432643,0.054315,-2.853637,49.858891,4.712520
0.020000,8.665817,4.978615,6.433358,0.017186,-1.856459,49.858891,4.712414
0.020000,8.665817,4.978443,6.433530,0.000000,-0.859281,49.858891,4.712389
0.020000,8.665817,4.978443,6.433530,0.000000,0.000000,42.964067,4.712389
