dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.396130,7.261076,0.000199,0.019944,0.997178,49.858891,0.000547
0.020000,4.396051,7.261076,0.000279,0.003986,-0.797894,-89.753599,0.000485
0.020000,4.395871,7.261076,0.000459,0.008973,0.249360,52.362694,0.000346
0.020000,4.395552,7.261076,0.000778,0.015969,0.349818,5.022896,0.000099
0.020000,4.398759,7.261076,0.003986,0.160379,7.220479,343.533057,6.282897
0.020000,4.405217,7.261072,0.010443,0.322876,8.124840,45.218056,6.282338
0.020000,4.413823,7.261061,0.019049,0.430289,5.370694,-137.707311,6.281589
0.020000,4.424574,7.261039,0.029800,0.537551,5.363079,-0.380751,6.280648
0.020000,4.437465,7.260999,0.042691,0.644567,5.350806,-0.613613,6.279512
0.020000,4.452491,7.260934,0.057718,0.751317,5.337484,-0.666115,6.278175
0.020000,4.469646,7.260835,0.074873,0.857764,5.322376,-0.755399,6.276634
0.020000,4.488922,7.260692,0.094149,0.963827,5.303152,-0.961208,6.274882
0.020000,4.510311,7.260493,0.115539,1.069471,5.282178,-1.048720,6.272913
0.020000,4.533802,7.260226,0.139032,1.174646,5.258741,-1.171852,6.270720
0.020000,4.559385,7.259876,0.164617,1.279275,5.231482,-1.362903,6.268294
0.020000,4.587048,7.259427,0.192283,1.383306,5.201545,-1.496886,6.265626
0.020000,4.616776,7.258862,0.222017,1.486681,5.168750,-1.639740,6.262706
0.020000,4.648554,7.258161,0.253803,1.589311,5.131506,-1.862222,6.259522
0.020000,4.682366,7.257302,0.287626,1.691124,5.090637,-2.043407,6.256061
0.020000,4.718192,7.256263,0.323467,1.792069,5.047250,-2.169369,6.252311
0.020000,4.756012,7.255019,0.361307,1.892007,4.996867,-2.519153,6.248255
0.020000,4.795802,7.253541,0.401125,1.990869,4.943100,-2.688333,6.243878
0.020000,4.837537,7.251802,0.442896,2.088568,4.884993,-2.905359,6.239160
0.020000,4.881189,7.249768,0.486595,2.184972,4.820162,-3.241545,6.234082
0.020000,4.926727,7.247406,0.532195,2.279965,4.749682,-3.524023,6.228621
0.020000,4.974117,7.244679,0.579663,2.373393,4.671365,-3.915826,6.222755
0.020000,5.023320,7.241548,0.628965,2.465120,4.586365,-4.250003,6.216457
0.020000,5.074295,7.237969,0.680066,2.555032,4.495590,-4.538781,6.209697
0.020000,5.126995,7.233898,0.732923,2.642871,4.391963,-5.181338,6.202444
0.020000,5.181370,7.229287,0.787493,2.728498,4.281367,-5.529802,6.194665
0.020000,5.237362,7.224084,0.843727,2.811687,4.159438,-6.096416,6.186321
0.020000,5.294910,7.218234,0.901571,2.892223,4.026781,-6.632862,6.177371
0.020000,5.353943,7.211679,0.960967,2.969788,3.878284,-7.424842,6.167769
0.020000,5.414385,7.204359,1.021850,3.044178,3.719494,-7.939517,6.157466
0.020000,5.476150,7.196208,1.084151,3.115008,3.541476,-8.900898,6.146407
0.020000,5.539143,7.187160,1.147791,3.182003,3.349772,-9.585184,6.134533
0.020000,5.603261,7.177143,1.212686,3.244780,3.138832,-10.547038,6.121777
0.020000,5.668387,7.166084,1.278744,3.302876,2.904816,-11.700762,6.108068
0.020000,5.734391,7.153909,1.345862,3.355905,2.651468,-12.667437,6.093328
0.020000,5.801134,7.140538,1.413931,3.403440,2.376707,-13.738028,6.077471
0.020000,5.868459,7.125896,1.482830,3.444943,2.075158,-15.077476,6.060403
0.020000,5.936194,7.109902,1.552427,3.479894,1.747576,-16.379101,6.042023
0.020000,6.004153,7.092480,1.622584,3.507811,1.395836,-17.586958,6.022223
0.020000,6.072132,7.073556,1.693148,3.528206,1.019739,-18.804894,6.000886
0.020000,6.139913,7.053059,1.763960,3.540611,0.620281,-19.972886,5.977888
0.020000,6.207261,7.030925,1.834852,3.544611,0.199979,-21.015105,5.953100
0.020000,6.273931,7.007096,1.905652,3.540005,-0.230287,-21.513276,5.926387
0.020000,6.339666,6.981524,1.976187,3.526716,-0.664486,-21.709966,5.897615
