dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.001278,1.291499,0.000186,0.018617,0.930834,46.541691,6.282196
0.020000,0.001230,1.291499,0.000234,0.002400,-0.810850,-87.084198,6.282233
0.020000,0.001122,1.291500,0.000342,0.005400,0.150012,48.043121,6.282316
0.020000,0.000930,1.291500,0.000534,0.009602,0.210109,3.004815,6.282465
0.020000,0.000630,1.291500,0.000834,0.015009,0.270345,3.011829,6.282698
0.020000,0.000197,1.291500,0.001267,0.021625,0.330812,3.023325,6.283032
0.020000,0.005674,1.291501,0.006743,0.273806,12.609014,613.910121,0.000303
0.020000,0.016642,1.291507,0.017712,0.548436,13.731522,56.125406,0.000891
0.020000,0.030049,1.291524,0.031119,0.670350,6.095711,-381.790540,0.001610
0.020000,0.045890,1.291556,0.046959,0.792030,6.083981,-0.586511,0.002463
0.020000,0.064164,1.291610,0.065233,0.913700,6.083504,-0.023884,0.003449
0.020000,0.084870,1.291693,0.085939,1.035302,6.080083,-0.171025,0.004570
0.020000,0.108005,1.291814,0.109075,1.156776,6.073700,-0.319152,0.005827
0.020000,0.133569,1.291980,0.134639,1.278220,6.072237,-0.073125,0.007222
0.020000,0.161559,1.292204,0.162631,1.399574,6.067675,-0.228107,0.008757
0.020000,0.191972,1.292496,0.193045,1.520728,6.057699,-0.498826,0.010433
0.020000,0.224805,1.292868,0.225880,1.641725,6.049866,-0.391655,0.012252
0.020000,0.260055,1.293335,0.261133,1.762661,6.046814,-0.152563,0.014217
0.020000,0.297720,1.293910,0.298802,1.883473,6.040601,-0.310688,0.016331
0.020000,0.337796,1.294610,0.338884,2.004097,6.031183,-0.470875,0.018595
0.020000,0.380277,1.295451,0.381374,2.124468,6.018523,-0.633033,0.021012
0.020000,0.425157,1.296452,0.426265,2.244561,6.004684,-0.691908,0.023586
0.020000,0.472437,1.297632,0.473560,2.364732,6.008542,0.192874,0.026319
0.020000,0.522106,1.299011,0.523248,2.484425,5.984654,-1.194392,0.029216
0.020000,0.574160,1.300612,0.575327,2.603933,5.975400,-0.462717,0.032280
0.020000,0.628594,1.302458,0.629791,2.723227,5.964695,-0.535231,0.035515
0.020000,0.685399,1.304573,0.686636,2.842234,5.950373,-0.716083,0.038926
0.020000,0.744567,1.306984,0.745854,2.960882,5.932374,-0.899965,0.042516
0.020000,0.806093,1.309717,0.807440,3.079335,5.922674,-0.485012,0.046291
0.020000,0.869966,1.312803,0.871387,3.197336,5.900050,-1.131210,0.050255
0.020000,0.936178,1.316271,0.937690,3.315148,5.890591,-0.472917,0.054415
0.020000,1.004717,1.320154,1.006339,3.432441,5.864637,-1.297721,0.058776
0.020000,1.075572,1.324485,1.077326,3.549372,5.846562,-0.903766,0.063343
0.020000,1.148731,1.329301,1.150643,3.665857,5.824249,-1.115630,0.068125
0.020000,1.224183,1.334638,1.226284,3.782028,5.808535,-0.785690,0.073126
0.020000,1.301911,1.340536,1.304236,3.897600,5.778587,-1.497401,0.078355
0.020000,1.381903,1.347036,1.384492,4.012774,5.758737,-0.992498,0.083820
0.020000,1.464140,1.354181,1.467038,4.127331,5.727818,-1.545965,0.089528
0.020000,1.548605,1.362016,1.551866,4.241389,5.702925,-1.244657,0.095487
0.020000,1.635279,1.370589,1.638963,4.354850,5.673052,-1.493617,0.101708
0.020000,1.724140,1.379949,1.728315,4.467613,5.638122,-1.746532,0.108199
