dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.000186,0.018617,0.930834,46.541691,6.282196
0.020000,0.000000,0.000000,0.000931,0.055850,1.861668,46.541691,6.282233
0.020000,0.000000,0.000000,0.002606,0.111700,2.792501,46.541691,6.282316
0.020000,0.000000,0.000000,0.005585,0.186167,3.723335,46.541691,6.282465
0.020000,0.000000,0.000000,0.010239,0.279250,4.654169,46.541691,6.282698
0.020000,0.000000,0.000000,0.016941,0.390950,5.585003,46.541691,6.283032
0.020000,0.006065,0.000001,0.026063,0.521267,6.515837,46.541691,0.000303
0.020000,0.017793,0.000008,0.037792,0.651584,6.515837,0.000000,0.000891
0.020000,0.032129,0.000026,0.052127,0.781900,6.515837,0.000000,0.001610
0.020000,0.049070,0.000060,0.069068,0.912217,6.515837,-0.000000,0.002463
0.020000,0.068618,0.000118,0.088615,1.042534,6.515837,0.000000,0.003449
0.020000,0.090771,0.000207,0.110769,1.172851,6.515837,0.000000,0.004570
0.020000,0.115530,0.000336,0.135529,1.303167,6.515837,-0.000000,0.005827
0.020000,0.142896,0.000514,0.162896,1.433484,6.515837,0.000000,0.007222
0.020000,0.172869,0.000754,0.192869,1.563801,6.515837,0.000000,0.008757
0.020000,0.205446,0.001066,0.225448,1.694118,6.515837,-0.000000,0.010433
0.020000,0.240628,0.001465,0.260633,1.824434,6.515837,0.000000,0.012252
0.020000,0.278416,0.001965,0.298425,1.954751,6.515837,0.000000,0.014217
0.020000,0.318810,0.002582,0.338824,2.085068,6.515837,0.000000,0.016331
0.020000,0.361809,0.003333,0.381828,2.215385,6.515837,-0.000000,0.018595
0.020000,0.407412,0.004236,0.427439,2.345701,6.515837,0.000000,0.021012
0.020000,0.455615,0.005311,0.475656,2.476018,6.515837,-0.000000,0.023586
0.020000,0.506424,0.006579,0.526480,2.606335,6.515837,0.000000,0.026319
0.020000,0.559834,0.008063,0.579909,2.736651,6.515837,0.000000,0.029216
