dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.001278,-1.291499,0.000186,0.018617,0.930834,46.541691,6.282196
0.020000,-0.001230,-1.291499,0.000234,0.002400,-0.810850,-87.084198,6.282233
0.020000,-0.001122,-1.291500,0.000342,0.005400,0.150012,48.043121,6.282316
0.020000,-0.000930,-1.291500,0.000534,0.009602,0.210109,3.004815,6.282465
0.020000,-0.000630,-1.291500,0.000834,0.015009,0.270345,3.011829,6.282698
0.020000,-0.000197,-1.291500,0.001267,0.021625,0.330812,3.023325,6.283032
0.020000,0.006457,-1.291499,0.007922,0.332740,15.555757,761.247277,0.000303
0.020000,0.018943,-1.291492,0.020408,0.624301,14.578038,-48.885955,0.000891
0.020000,0.034209,-1.291472,0.035673,0.763274,6.948642,-381.469813,0.001610
0.020000,0.052251,-1.291436,0.053715,0.902097,6.941153,-0.374449,0.002463
0.020000,0.073072,-1.291374,0.074536,1.041049,6.947577,0.321196,0.003449
0.020000,0.096673,-1.291280,0.098138,1.180084,6.951772,0.209751,0.004570
0.020000,0.123056,-1.291142,0.124521,1.319159,6.953732,0.097991,0.005827
0.020000,0.152223,-1.290952,0.153689,1.458408,6.962470,0.436925,0.007222
0.020000,0.184178,-1.290697,0.185645,1.597786,6.968874,0.320169,0.008757
0.020000,0.218920,-1.290364,0.220389,1.737192,6.970320,0.072333,0.010433
0.020000,0.256452,-1.289938,0.257923,1.876701,6.975468,0.257376,0.012252
0.020000,0.296777,-1.289404,0.298252,2.016449,6.987383,0.595751,0.014217
0.020000,0.339900,-1.288745,0.341379,2.156390,6.997032,0.482469,0.016331
0.020000,0.385823,-1.287944,0.387309,2.296478,7.004404,0.368573,0.018595
0.020000,0.434547,-1.286979,0.436042,2.436667,7.009488,0.254224,0.021012
0.020000,0.486073,-1.285829,0.487582,2.576961,7.014696,0.260380,0.023586
0.020000,0.540412,-1.284473,0.541938,2.717797,7.041781,1.354261,0.026319
0.020000,0.597561,-1.282886,0.599109,2.858569,7.038610,-0.158524,0.029216
0.020000,0.657526,-1.281042,0.659102,2.999648,7.053921,0.765512,0.032280
0.020000,0.720310,-1.278913,0.721923,3.141034,7.069324,0.770186,0.035515
0.020000,0.785919,-1.276470,0.787576,3.282682,7.082391,0.653327,0.038926
0.020000,0.854353,-1.273682,0.856067,3.424544,7.093110,0.535971,0.042516
0.020000,0.925620,-1.270516,0.927404,3.566853,7.115428,1.115872,0.046291
0.020000,0.999720,-1.266936,1.001591,3.709350,7.124877,0.472462,0.050255
0.020000,1.076662,-1.262906,1.078639,3.852386,7.151788,1.345547,0.054415
0.020000,1.156447,-1.258386,1.158551,3.995623,7.161846,0.502893,0.058776
0.020000,1.239078,-1.253335,1.241337,4.139292,7.183454,1.080412,0.063343
0.020000,1.324560,-1.247708,1.327004,4.283345,7.202653,0.959935,0.068125
0.020000,1.412899,-1.241459,1.415564,4.427990,7.232229,1.478813,0.073126
0.020000,1.504096,-1.234539,1.507023,4.572948,7.247939,0.785520,0.078355
0.020000,1.598157,-1.226896,1.601393,4.718516,7.278398,1.522938,0.083820
0.020000,1.695081,-1.218474,1.698683,4.864495,7.298919,1.026063,0.089528
0.020000,1.794875,-1.209217,1.798905,5.011089,7.329737,1.540868,0.095487
0.020000,1.897539,-1.199062,1.902070,5.158251,7.358057,1.416015,0.101708
0.020000,2.003073,-1.187946,2.008188,5.305928,7.383890,1.291628,0.108199
