dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,8.387202,11.004509,0.000199,0.019900,0.995025,49.751244,0.000086
0.020000,8.387256,11.004509,0.000253,0.002696,-0.860210,-92.761730,0.000044
0.020000,8.388335,11.004509,0.001331,0.053919,2.561124,171.066706,6.283135
0.020000,8.391736,11.004508,0.004733,0.170064,5.807271,162.307324,6.282967
0.020000,8.397053,11.004507,0.010050,0.265852,4.789386,-50.894226,6.282702
0.020000,8.404715,11.004501,0.017712,0.383098,5.862322,53.646760,6.282317
0.020000,8.414941,11.004490,0.027938,0.511296,6.409897,27.378768,6.281795
0.020000,8.427739,11.004468,0.040736,0.639922,6.431285,1.069418,6.281131
0.020000,8.443121,11.004430,0.056118,0.769083,6.458035,1.337487,6.280315
0.020000,8.461098,11.004370,0.074095,0.898886,6.490178,1.607158,6.279338
0.020000,8.481687,11.004279,0.094684,1.029441,6.527724,1.877298,6.278189
0.020000,8.504904,11.004147,0.117901,1.160855,6.570715,2.149532,6.276854
0.020000,8.530768,11.003964,0.143766,1.293238,6.619145,2.421493,6.275317
0.020000,8.559301,11.003714,0.172300,1.426700,6.673082,2.696860,6.273563
0.020000,8.590526,11.003383,0.203527,1.561350,6.732525,2.972183,6.271573
0.020000,8.624469,11.002951,0.237473,1.697301,6.797554,3.251422,6.269327
0.020000,8.661158,11.002396,0.274166,1.834665,6.868171,3.530843,6.266802
0.020000,8.700623,11.001694,0.313637,1.973553,6.944418,3.812380,6.263976
0.020000,8.742896,11.000816,0.355919,2.114080,7.026359,4.097030,6.260822
0.020000,8.788010,10.999728,0.401046,2.256360,7.113987,4.381384,6.257315
0.020000,8.836001,10.998394,0.449056,2.400507,7.207367,4.669005,6.253424
0.020000,8.886908,10.996769,0.499989,2.546636,7.306441,4.953695,6.249119
0.020000,8.940770,10.994807,0.553886,2.694861,7.411250,5.240488,6.244368
0.020000,8.997627,10.992451,0.610792,2.845295,7.521712,5.523079,6.239136
0.020000,9.057522,10.989639,0.670753,2.998050,7.637743,5.801544,6.233388
0.020000,9.120498,10.986303,0.733818,3.153234,7.759184,6.072077,6.227086
0.020000,9.186600,10.982364,0.800037,3.310950,7.885795,6.330505,6.220190
0.020000,9.255871,10.977734,0.869463,3.471295,8.017249,6.572712,6.212661
0.020000,9.328356,10.972317,0.942150,3.634357,8.153100,6.792572,6.204455
0.020000,9.404098,10.966003,1.018154,3.800211,8.292719,6.980959,6.195530
0.020000,9.483137,10.958673,1.097532,3.968917,8.435315,7.129786,6.185841
0.020000,9.565512,10.950195,1.180343,4.140514,8.579832,7.225869,6.175344
0.020000,9.651257,10.940423,1.266643,4.315014,8.724975,7.257115,6.163993
0.020000,9.740401,10.929196,1.356491,4.492395,8.869086,7.205579,6.151745
0.020000,9.832965,10.916341,1.449943,4.672599,9.010176,7.054484,6.138555
0.020000,9.928960,10.901668,1.547053,4.855515,9.145806,6.781498,6.124382
0.020000,10.028388,10.884972,1.647873,5.040976,9.273047,6.362027,6.109185
0.020000,10.131234,10.866036,1.752448,5.228748,9.388627,5.779003,6.092930
0.020000,10.237468,10.844624,1.860818,5.418519,9.488554,4.996395,6.075584
0.020000,10.347039,10.820491,1.973016,5.609891,9.568571,4.000820,6.057124
0.020000,10.459875,10.793378,2.089063,5.802370,9.623957,2.769313,6.037532
0.020000,10.579362,10.761956,2.212612,6.177450,18.753998,456.502041,6.012360
0.020000,10.711344,10.722967,2.350233,6.881021,35.178561,821.228132,5.979759
0.020000,10.842642,10.679574,2.488516,6.914174,1.657622,-1676.046913,5.948494
0.020000,10.972753,10.632134,2.627006,6.924488,0.515738,-57.094239,5.918919
0.020000,11.101245,10.581078,2.765269,6.913158,-0.566526,-54.113154,5.891369
0.020000,11.227765,10.526897,2.902903,6.881681,-1.573857,-50.366582,5.866156
0.020000,11.352043,10.470120,3.039536,6.831662,-2.500955,-46.354886,5.843567
0.020000,11.473884,10.411309,3.174828,6.764621,-3.352047,-42.554584,5.823866
0.020000,11.593160,10.351042,3.308465,6.681831,-4.139469,-39.371097,5.807297
0.020000,11.709794,10.289911,3.440149,6.584198,-4.881673,-37.110240,5.794089
0.020000,11.823750,10.228512,3.569593,6.472182,-5.600778,-35.955235,5.784465
0.020000,11.935010,10.167449,3.696508,6.345777,-6.320251,-35.973634,5.778648
0.020000,12.043565,10.107329,3.820599,6.204533,-7.062201,-37.097537,5.776867
0.020000,12.149394,10.048764,3.941552,6.047640,-7.844668,-39.123339,5.779365
0.020000,12.252453,9.992368,4.059033,5.874075,-8.678222,-41.677706,5.786400
0.020000,12.352666,9.938746,4.172690,5.682842,-9.561694,-44.173582,5.798245
0.020000,12.449915,9.888492,4.282156,5.473314,-10.476375,-45.734068,5.815183
0.020000,12.544046,9.842161,4.387071,5.245736,-11.378921,-45.127266,5.837494
0.020000,12.650731,9.792555,4.504725,5.882702,31.848300,2161.361035,5.849827
0.020000,12.781301,9.731787,4.648743,7.200901,65.909979,1703.083947,5.845561
