dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,8.387313,9.713009,0.000199,0.019900,0.995025,49.751244,0.000086
0.020000,8.387313,9.713009,0.000995,0.059701,1.990050,49.751244,0.000044
0.020000,8.388270,9.713009,0.002786,0.119403,2.985075,49.751244,6.283135
0.020000,8.391454,9.713009,0.005970,0.199005,3.980100,49.751244,6.282967
0.020000,8.396429,9.713007,0.010945,0.298507,4.975124,49.751244,6.282702
0.020000,8.403593,9.713002,0.018109,0.417910,5.970149,49.751244,6.282317
0.020000,8.413145,9.712991,0.027662,0.537313,5.970149,-0.000000,6.281795
0.020000,8.425085,9.712971,0.039602,0.656716,5.970149,0.000000,6.281131
0.020000,8.439414,9.712935,0.053930,0.776119,5.970149,0.000000,6.280315
0.020000,8.456130,9.712879,0.070647,0.895522,5.970149,0.000000,6.279338
0.020000,8.475234,9.712795,0.089751,1.014925,5.970149,0.000000,6.278189
0.020000,8.496727,9.712673,0.111244,1.134328,5.970149,-0.000000,6.276854
0.020000,8.520607,9.712504,0.135124,1.253731,5.970149,0.000000,6.275317
0.020000,8.546874,9.712274,0.161393,1.373134,5.970149,0.000000,6.273563
0.020000,8.575529,9.711970,0.190050,1.492537,5.970149,-0.000000,6.271573
0.020000,8.606572,9.711575,0.221095,1.611940,5.970149,0.000000,6.269327
0.020000,8.640001,9.711070,0.254527,1.731343,5.970149,-0.000000,6.266802
0.020000,8.675816,9.710433,0.290348,1.850746,5.970149,0.000000,6.263976
0.020000,8.714017,9.709639,0.328557,1.970149,5.970149,0.000000,6.260822
0.020000,8.754602,9.708661,0.369154,2.089552,5.970149,0.000000,6.257315
0.020000,8.797570,9.707466,0.412139,2.208955,5.970149,-0.000000,6.253424
0.020000,8.842920,9.706019,0.457512,2.328358,5.970149,0.000000,6.249119
0.020000,8.890650,9.704279,0.505274,2.447761,5.970149,-0.000000,6.244368
0.020000,8.940756,9.702203,0.555423,2.567164,5.970149,0.000000,6.239136
0.020000,8.993235,9.699740,0.607960,2.686567,5.970149,0.000000,6.233388
0.020000,9.048084,9.696835,0.662886,2.805970,5.970149,0.000000,6.227086
0.020000,9.105296,9.693425,0.720199,2.925373,5.970149,-0.000000,6.220190
0.020000,9.164864,9.689444,0.779900,3.044776,5.970149,0.000000,6.212661
0.020000,9.226781,9.684817,0.841990,3.164179,5.970149,-0.000000,6.204455
0.020000,9.291035,9.679461,0.906468,3.283582,5.970149,0.000000,6.195530
0.020000,9.357615,9.673288,0.973333,3.402985,5.970149,0.000000,6.185841
0.020000,9.426505,9.666198,1.042587,3.522388,5.970149,-0.000000,6.175344
0.020000,9.497685,9.658086,1.114229,3.641791,5.970149,0.000000,6.163993
0.020000,9.571135,9.648836,1.188259,3.761194,5.970149,-0.000000,6.151745
0.020000,9.646826,9.638325,1.264677,3.880597,5.970149,0.000000,6.138555
0.020000,9.724726,9.626418,1.343483,4.000000,5.970149,-0.000000,6.124382
0.020000,9.804799,9.612974,1.424677,4.119403,5.970149,-0.000000,6.109185
0.020000,9.886998,9.597840,1.508259,4.238806,5.970149,0.000000,6.092930
0.020000,9.971273,9.580855,1.594229,4.358209,5.970149,0.000000,6.075584
0.020000,10.057562,9.561851,1.682587,4.477612,5.970149,0.000000,6.057124
0.020000,10.145795,9.540650,1.773333,4.597015,5.970149,-0.000000,6.037532
0.020000,10.233851,9.517531,1.866468,4.716418,5.970149,0.000000,6.012360
0.020000,10.325455,9.490465,1.961990,4.835821,5.970149,-0.000000,5.979759
0.020000,10.418414,9.459737,2.059900,4.955224,5.970149,0.000000,5.948494
0.020000,10.512639,9.425375,2.160199,5.074627,5.970149,0.000000,5.918919
0.020000,10.608063,9.387452,2.262886,5.194030,5.970149,-0.000000,5.891369
0.020000,10.704648,9.346083,2.367960,5.313433,5.970149,0.000000,5.866156
0.020000,10.802388,9.301423,2.475423,5.432836,5.970149,0.000000,5.843567
0.020000,10.901313,9.253667,2.585274,5.552239,5.970149,-0.000000,5.823866
0.020000,11.001487,9.203046,2.697512,5.671642,5.970149,0.000000,5.807297
0.020000,11.103011,9.149829,2.812139,5.791045,5.970149,-0.000000,5.794089
0.020000,11.206023,9.094322,2.929154,5.910448,5.970149,0.000000,5.784465
0.020000,11.310696,9.036872,3.048557,6.029851,5.970149,0.000000,5.778648
0.020000,11.417238,8.977866,3.170348,6.149254,5.970149,-0.000000,5.776867
0.020000,11.525891,8.917740,3.294527,6.268657,5.970149,0.000000,5.779365
0.020000,11.636922,8.856985,3.421095,6.388060,5.970149,-0.000000,5.786400
0.020000,11.750627,8.796153,3.550050,6.507463,5.970149,0.000000,5.798245
0.020000,11.867315,8.735865,3.681393,6.626866,5.970149,0.000000,5.815183
0.020000,11.987304,8.676824,3.815124,6.746269,5.970149,-0.000000,5.837494
