dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,8.387423,8.421509,0.000199,0.019900,0.995025,49.751244,0.000086
0.020000,8.387369,8.421509,0.000253,0.002696,-0.860210,-92.761730,0.000044
0.020000,8.388205,8.421509,0.001088,0.041757,1.953013,140.661158,6.283135
0.020000,8.391171,8.421509,0.004055,0.148344,5.329357,168.817153,6.282967
0.020000,8.395805,8.421507,0.008688,0.231660,4.165832,-58.176232,6.282702
0.020000,8.402471,8.421502,0.015355,0.333320,5.082963,45.856577,6.282317
0.020000,8.411350,8.421492,0.024233,0.443928,5.530399,22.371767,6.281795
0.020000,8.422432,8.421473,0.035315,0.554108,5.509018,-1.069059,6.281131
0.020000,8.435707,8.421441,0.048590,0.663753,5.482258,-1.337971,6.280315
0.020000,8.451162,8.421389,0.064045,0.772755,5.450117,-1.607047,6.279338
0.020000,8.468782,8.421311,0.081666,0.881007,5.412565,-1.877610,6.278189
0.020000,8.488549,8.421199,0.101434,0.988399,5.369593,-2.148614,6.276854
0.020000,8.510445,8.421044,0.123330,1.094821,5.321144,-2.422429,6.275317
0.020000,8.534448,8.420834,0.147333,1.200166,5.267219,-2.696248,6.273563
0.020000,8.560533,8.420557,0.173420,1.304321,5.207753,-2.973298,6.271573
0.020000,8.588674,8.420199,0.201563,1.407176,5.142744,-3.250479,6.269327
0.020000,8.618843,8.419743,0.231736,1.508618,5.072122,-3.531059,6.266802
0.020000,8.651008,8.419171,0.263906,1.608535,4.995855,-3.813388,6.263976
0.020000,8.685137,8.418462,0.298043,1.706814,4.913926,-4.096445,6.260822
0.020000,8.721194,8.417593,0.334109,1.803339,4.826276,-4.382495,6.257315
0.020000,8.759139,8.416538,0.372069,1.897998,4.732921,-4.667751,6.253424
0.020000,8.798932,8.415268,0.411883,1.990674,4.633806,-4.955754,6.249119
0.020000,8.840530,8.413752,0.453508,2.081254,4.528997,-5.240425,6.244368
0.020000,8.883885,8.411956,0.496900,2.169624,4.418520,-5.523847,6.239136
0.020000,8.928949,8.409841,0.542014,2.255674,4.302481,-5.801989,6.233388
0.020000,8.975669,8.407366,0.588800,2.339294,4.181030,-6.072549,6.227086
0.020000,9.023991,8.404487,0.637207,2.420382,4.054392,-6.331870,6.220190
0.020000,9.073857,8.401155,0.687184,2.498840,3.922905,-6.574348,6.212661
0.020000,9.125205,8.397318,0.738676,2.574581,3.787033,-6.793627,6.204455
0.020000,9.177973,8.392920,0.791626,2.647529,3.647376,-6.982831,6.195530
0.020000,9.232093,8.387902,0.845979,2.717624,3.504750,-7.131285,6.185841
0.020000,9.287497,8.382201,0.901675,2.784827,3.360181,-7.228479,6.175344
0.020000,9.344113,8.375749,0.958658,2.849127,3.214993,-7.259379,6.163993
0.020000,9.401868,8.368476,1.016869,2.910543,3.070814,-7.208953,6.151745
